model,ep_idx,eHMI,expert_decision,gen_decision,same,expert_hv_pass_t,expert_ego_pass_t,gen_hv_pass_t,gen_ego_pass_t
AIRL,35,有eHMI,直行先通过,直行先通过,True,108,62.0,98.0,62.0
AIRL,36,无eHMI,直行先通过,直行先通过,True,91,56.0,92.0,56.0
AIRL,37,有eHMI,直行先通过,直行先通过,True,117,73.0,98.0,73.0
AIRL,38,无eHMI,直行先通过,直行先通过,True,102,61.0,101.0,61.0
AIRL,39,无eHMI,左转先通过,左转先通过,True,47,,49.0,
AIRL,40,有eHMI,直行先通过,左转先通过,False,132,84.0,72.0,84.0
AIRL,41,无eHMI,左转先通过,左转先通过,True,54,,65.0,
AIRL,42,有eHMI,直行先通过,直行先通过,True,97,56.0,96.0,56.0
AIRL,43,有eHMI,直行先通过,直行先通过,True,82,47.0,85.0,47.0
AIRL,44,无eHMI,左转先通过,左转先通过,True,79,,65.0,
AIRL,45,有eHMI,直行先通过,直行先通过,True,85,62.0,109.0,62.0
AIRL,46,有eHMI,左转先通过,左转先通过,True,57,,72.0,
AIRL,47,无eHMI,直行先通过,直行先通过,True,91,62.0,102.0,62.0
AIRL,48,有eHMI,左转先通过,左转先通过,True,48,,62.0,
AIRL,49,无eHMI,左转先通过,左转先通过,True,47,,49.0,
AIRL,50,无eHMI,左转先通过,左转先通过,True,55,,69.0,
AIRL,51,有eHMI,直行先通过,直行先通过,True,85,57.0,95.0,57.0
AIRL,52,无eHMI,直行先通过,直行先通过,True,77,47.0,90.0,47.0
AIRL,53,无eHMI,直行先通过,直行先通过,True,83,48.0,85.0,48.0
AIRL,54,有eHMI,直行先通过,直行先通过,True,95,48.0,85.0,48.0
AIRL,55,无eHMI,左转先通过,左转先通过,True,49,,60.0,
AIRL,56,有eHMI,左转先通过,左转先通过,True,57,,67.0,
AIRL,57,无eHMI,左转先通过,都未通过,False,42,,,
AIRL,58,有eHMI,左转先通过,左转先通过,True,51,,68.0,
AIRL,59,无eHMI,左转先通过,都未通过,False,50,,,
AIRL,60,有eHMI,左转先通过,左转先通过,True,58,,72.0,
AIRL,61,无eHMI,左转先通过,都未通过,False,45,,,
AIRL,62,有eHMI,直行先通过,直行先通过,True,112,55.0,93.0,55.0
AIRL,63,有eHMI,直行先通过,直行先通过,True,91,47.0,86.0,47.0
AIRL,64,无eHMI,直行先通过,直行先通过,True,96,58.0,113.0,58.0
AIRL,65,有eHMI,直行先通过,直行先通过,True,101,57.0,98.0,57.0
AIRL,66,有eHMI,直行先通过,直行先通过,True,104,62.0,99.0,62.0
AIRL,67,无eHMI,直行先通过,直行先通过,True,83,55.0,97.0,55.0
AIRL,68,无eHMI,直行先通过,直行先通过,True,88,61.0,94.0,61.0
AIRL,69,有eHMI,直行先通过,直行先通过,True,106,63.0,106.0,63.0
AIRL,70,无eHMI,直行先通过,直行先通过,True,92,63.0,104.0,63.0
AIRL,71,有eHMI,左转先通过,直行先通过,False,50,56.0,,56.0
AIRL,72,无eHMI,直行先通过,直行先通过,True,77,47.0,100.0,47.0
AIRL,73,无eHMI,直行先通过,直行先通过,True,84,46.0,86.0,46.0
AIRL,74,有eHMI,直行先通过,直行先通过,True,86,47.0,88.0,47.0
AIRL,75,无eHMI,直行先通过,直行先通过,True,91,57.0,94.0,57.0
AIRL,76,有eHMI,直行先通过,直行先通过,True,92,57.0,96.0,57.0
AIRL,77,有eHMI,直行先通过,直行先通过,True,95,62.0,100.0,62.0
AIRL,78,无eHMI,直行先通过,直行先通过,True,96,61.0,99.0,61.0
AIRL,79,无eHMI,直行先通过,直行先通过,True,82,56.0,93.0,56.0
AIRL,80,有eHMI,直行先通过,直行先通过,True,107,58.0,78.0,58.0
AIRL,81,无eHMI,直行先通过,直行先通过,True,100,62.0,94.0,62.0
AIRL,82,有eHMI,直行先通过,直行先通过,True,90,56.0,93.0,56.0
AIRL,83,有eHMI,直行先通过,直行先通过,True,93,47.0,85.0,47.0
AIRL,84,无eHMI,左转先通过,左转先通过,True,58,,72.0,
AIRL,85,有eHMI,左转先通过,左转先通过,True,53,,61.0,
AIRL,86,有eHMI,左转先通过,都未通过,False,48,,,
AIRL,87,无eHMI,左转先通过,左转先通过,True,52,,71.0,
AIRL,88,无eHMI,左转先通过,都未通过,False,46,,,
AIRL,89,有eHMI,直行先通过,直行先通过,True,93,61.0,84.0,61.0
AIRL,90,有eHMI,直行先通过,直行先通过,True,127,59.0,81.0,59.0
AIRL,91,无eHMI,左转先通过,都未通过,False,55,,,
AIRL,92,有eHMI,直行先通过,直行先通过,True,103,55.0,92.0,55.0
AIRL,93,无eHMI,直行先通过,直行先通过,True,95,46.0,83.0,46.0
AIRL,94,无eHMI,直行先通过,直行先通过,True,86,46.0,86.0,46.0
AIRL,95,有eHMI,直行先通过,直行先通过,True,89,46.0,86.0,46.0
AIRL,96,有eHMI,直行先通过,直行先通过,True,65,47.0,87.0,47.0
AIRL,97,无eHMI,左转先通过,左转先通过,True,61,,66.0,
AIRL,98,有eHMI,左转先通过,左转先通过,True,63,,70.0,
AIRL,99,有eHMI,直行先通过,直行先通过,True,122,61.0,98.0,61.0
AIRL,100,无eHMI,左转先通过,左转先通过,True,80,,63.0,
AIRL,101,无eHMI,直行先通过,直行先通过,True,106,56.0,93.0,56.0
AIRL,102,无eHMI,直行先通过,直行先通过,True,102,61.0,100.0,61.0
AIRL,103,有eHMI,左转先通过,左转先通过,True,69,,66.0,
AIRL,104,有eHMI,直行先通过,直行先通过,True,116,61.0,101.0,61.0
AIRL,105,无eHMI,左转先通过,都未通过,False,49,,,
AIRL,106,有eHMI,直行先通过,直行先通过,True,105,64.0,74.0,64.0
AIRL,107,无eHMI,直行先通过,直行先通过,True,87,60.0,87.0,60.0
AIRL,108,有eHMI,左转先通过,左转先通过,True,43,,62.0,
AIRL,109,无eHMI,直行先通过,直行先通过,True,78,46.0,88.0,46.0
AIRL,110,有eHMI,直行先通过,直行先通过,True,90,54.0,90.0,54.0
AIRL,111,有eHMI,直行先通过,直行先通过,True,89,46.0,86.0,46.0
AIRL,112,无eHMI,左转先通过,左转先通过,True,61,,66.0,
AIRL,113,有eHMI,左转先通过,左转先通过,True,63,,70.0,
AIRL,114,有eHMI,直行先通过,直行先通过,True,122,61.0,98.0,61.0
AIRL,115,无eHMI,左转先通过,左转先通过,True,53,,68.0,
AIRL,116,无eHMI,直行先通过,直行先通过,True,102,61.0,100.0,61.0
AIRL,117,有eHMI,左转先通过,左转先通过,True,51,,64.0,
AIRL,118,无eHMI,直行先通过,直行先通过,True,114,64.0,67.0,64.0
AIRL,119,有eHMI,左转先通过,左转先通过,True,43,,62.0,
AIRL,120,无eHMI,直行先通过,直行先通过,True,78,46.0,88.0,46.0
AIRL,121,有eHMI,直行先通过,直行先通过,True,82,41.0,93.0,41.0
AIRL,122,无eHMI,左转先通过,左转先通过,True,49,,51.0,
AIRL,123,有eHMI,直行先通过,直行先通过,True,82,41.0,93.0,41.0
AIRL,124,无eHMI,左转先通过,左转先通过,True,72,,70.0,
AIRL,125,有eHMI,左转先通过,左转先通过,True,60,,64.0,
AIRL,126,有eHMI,直行先通过,直行先通过,True,111,61.0,105.0,61.0
AIRL,127,无eHMI,直行先通过,直行先通过,True,101,61.0,106.0,61.0
AIRL,128,无eHMI,直行先通过,直行先通过,True,111,40.0,129.0,40.0
AIRL,129,有eHMI,直行先通过,直行先通过,True,144,55.0,92.0,55.0
AIRL,130,无eHMI,直行先通过,直行先通过,True,92,46.0,112.0,46.0
AIRL,131,有eHMI,直行先通过,直行先通过,True,111,45.0,100.0,45.0
AIRL,132,有eHMI,直行先通过,直行先通过,True,98,47.0,84.0,47.0
AIRL,133,无eHMI,左转先通过,左转先通过,True,68,,74.0,
AIRL,134,有eHMI,左转先通过,左转先通过,True,62,,65.0,
AIRL,135,有eHMI,直行先通过,直行先通过,True,105,61.0,94.0,61.0
AIRL,136,无eHMI,直行先通过,直行先通过,True,106,61.0,103.0,61.0
AIRL,137,无eHMI,左转先通过,左转先通过,True,49,,64.0,
AIRL,138,有eHMI,左转先通过,左转先通过,True,53,,69.0,
AIRL,139,无eHMI,左转先通过,左转先通过,True,50,,64.0,
AIRL,140,有eHMI,直行先通过,直行先通过,True,117,54.0,101.0,54.0
AIRL,141,无eHMI,直行先通过,直行先通过,True,71,47.0,106.0,47.0
BC,0,无eHMI,直行先通过,直行先通过,True,97,47.0,129.0,47.0
BC,1,有eHMI,直行先通过,直行先通过,True,116,47.0,,47.0
BC,2,无eHMI,左转先通过,左转先通过,True,66,,77.0,
BC,3,有eHMI,直行先通过,直行先通过,True,139,62.0,,62.0
BC,4,无eHMI,左转先通过,左转先通过,True,45,,63.0,
BC,5,有eHMI,直行先通过,直行先通过,True,154,74.0,107.0,74.0
BC,6,无eHMI,左转先通过,左转先通过,True,44,,65.0,
BC,7,有eHMI,左转先通过,左转先通过,True,55,,83.0,
BC,8,无eHMI,左转先通过,都未通过,False,49,,,
BC,9,有eHMI,直行先通过,直行先通过,True,104,56.0,,56.0
BC,10,有eHMI,直行先通过,直行先通过,True,80,48.0,,48.0
BC,11,有eHMI,左转先通过,左转先通过,True,41,,54.0,
BC,12,无eHMI,左转先通过,左转先通过,True,67,,76.0,
BC,13,无eHMI,直行先通过,直行先通过,True,80,55.0,116.0,55.0
BC,14,有eHMI,直行先通过,直行先通过,True,95,61.0,,61.0
BC,15,有eHMI,左转先通过,左转先通过,True,52,,59.0,
BC,16,无eHMI,左转先通过,左转先通过,True,53,,58.0,
BC,17,有eHMI,直行先通过,直行先通过,True,98,65.0,,65.0
BC,18,无eHMI,左转先通过,左转先通过,True,49,,58.0,
BC,19,有eHMI,直行先通过,直行先通过,True,102,57.0,,57.0
BC,20,无eHMI,直行先通过,直行先通过,True,65,45.0,,45.0
BC,21,有eHMI,直行先通过,直行先通过,True,84,46.0,,46.0
BC,22,无eHMI,左转先通过,左转先通过,True,62,,62.0,
BC,23,有eHMI,直行先通过,直行先通过,True,113,61.0,135.0,61.0
BC,24,有eHMI,左转先通过,左转先通过,True,67,,63.0,
BC,25,无eHMI,左转先通过,左转先通过,True,47,,58.0,
BC,26,无eHMI,直行先通过,直行先通过,True,96,60.0,87.0,60.0
BC,27,有eHMI,直行先通过,直行先通过,True,95,56.0,91.0,56.0
BC,28,有eHMI,左转先通过,左转先通过,True,52,,55.0,
BC,29,无eHMI,左转先通过,左转先通过,True,57,,57.0,
BC,30,有eHMI,左转先通过,左转先通过,True,54,,85.0,
BC,31,无eHMI,左转先通过,左转先通过,True,46,,59.0,
BC,32,有eHMI,直行先通过,直行先通过,True,91,47.0,,47.0
BC,33,有eHMI,直行先通过,直行先通过,True,99,47.0,121.0,47.0
BC,34,无eHMI,左转先通过,左转先通过,True,76,,74.0,
BC,35,有eHMI,直行先通过,直行先通过,True,108,62.0,,62.0
BC,36,无eHMI,直行先通过,直行先通过,True,91,56.0,96.0,56.0
BC,37,有eHMI,直行先通过,直行先通过,True,117,73.0,116.0,73.0
BC,38,无eHMI,直行先通过,直行先通过,True,102,61.0,100.0,61.0
BC,39,无eHMI,左转先通过,左转先通过,True,47,,56.0,
BC,40,有eHMI,直行先通过,左转先通过,False,132,84.0,74.0,84.0
BC,41,无eHMI,左转先通过,左转先通过,True,54,,78.0,
BC,42,有eHMI,直行先通过,直行先通过,True,97,56.0,,56.0
BC,43,有eHMI,直行先通过,直行先通过,True,82,47.0,110.0,47.0
BC,44,无eHMI,左转先通过,左转先通过,True,79,,72.0,
BC,45,有eHMI,直行先通过,直行先通过,True,85,62.0,,62.0
BC,46,有eHMI,左转先通过,左转先通过,True,57,,64.0,
BC,47,无eHMI,直行先通过,直行先通过,True,91,62.0,120.0,62.0
BC,48,有eHMI,左转先通过,左转先通过,True,48,,54.0,
BC,49,无eHMI,左转先通过,左转先通过,True,47,,56.0,
BC,50,无eHMI,左转先通过,左转先通过,True,55,,64.0,
BC,51,有eHMI,直行先通过,直行先通过,True,85,57.0,,57.0
BC,52,无eHMI,直行先通过,直行先通过,True,77,47.0,88.0,47.0
BC,53,无eHMI,直行先通过,直行先通过,True,83,48.0,68.0,48.0
BC,54,有eHMI,直行先通过,直行先通过,True,95,48.0,108.0,48.0
BC,55,无eHMI,左转先通过,左转先通过,True,49,,61.0,
BC,56,有eHMI,左转先通过,左转先通过,True,57,,61.0,
BC,57,无eHMI,左转先通过,左转先通过,True,42,,50.0,
BC,58,有eHMI,左转先通过,都未通过,False,51,,,
BC,59,无eHMI,左转先通过,左转先通过,True,50,,62.0,
BC,60,有eHMI,左转先通过,左转先通过,True,58,,68.0,
BC,61,无eHMI,左转先通过,左转先通过,True,45,,63.0,
BC,62,有eHMI,直行先通过,直行先通过,True,112,55.0,,55.0
BC,63,有eHMI,直行先通过,直行先通过,True,91,47.0,,47.0
BC,64,无eHMI,直行先通过,直行先通过,True,96,58.0,125.0,58.0
BC,65,有eHMI,直行先通过,直行先通过,True,101,57.0,,57.0
BC,66,有eHMI,直行先通过,直行先通过,True,104,62.0,,62.0
BC,67,无eHMI,直行先通过,直行先通过,True,83,55.0,,55.0
BC,68,无eHMI,直行先通过,直行先通过,True,88,61.0,83.0,61.0
BC,69,有eHMI,直行先通过,直行先通过,True,106,63.0,,63.0
BC,70,无eHMI,直行先通过,直行先通过,True,92,63.0,86.0,63.0
BC,71,有eHMI,左转先通过,直行先通过,False,50,56.0,,56.0
BC,72,无eHMI,直行先通过,直行先通过,True,77,47.0,,47.0
BC,73,无eHMI,直行先通过,直行先通过,True,84,46.0,,46.0
BC,74,有eHMI,直行先通过,直行先通过,True,86,47.0,,47.0
BC,75,无eHMI,直行先通过,直行先通过,True,91,57.0,92.0,57.0
BC,76,有eHMI,直行先通过,直行先通过,True,92,57.0,,57.0
BC,77,有eHMI,直行先通过,直行先通过,True,95,62.0,123.0,62.0
BC,78,无eHMI,直行先通过,直行先通过,True,96,61.0,85.0,61.0
BC,79,无eHMI,直行先通过,直行先通过,True,82,56.0,93.0,56.0
BC,80,有eHMI,直行先通过,直行先通过,True,107,58.0,64.0,58.0
BC,81,无eHMI,直行先通过,直行先通过,True,100,62.0,73.0,62.0
BC,82,有eHMI,直行先通过,直行先通过,True,90,56.0,,56.0
BC,83,有eHMI,直行先通过,直行先通过,True,93,47.0,,47.0
BC,84,无eHMI,左转先通过,左转先通过,True,58,,72.0,
BC,85,有eHMI,左转先通过,左转先通过,True,53,,63.0,
BC,86,有eHMI,左转先通过,都未通过,False,48,,,
BC,87,无eHMI,左转先通过,左转先通过,True,52,,68.0,
BC,88,无eHMI,左转先通过,都未通过,False,46,,,
BC,89,有eHMI,直行先通过,直行先通过,True,93,61.0,71.0,61.0
BC,90,有eHMI,直行先通过,直行先通过,True,127,59.0,,59.0
BC,91,无eHMI,左转先通过,左转先通过,True,55,,61.0,
BC,92,有eHMI,直行先通过,直行先通过,True,103,55.0,106.0,55.0
BC,93,无eHMI,直行先通过,直行先通过,True,95,46.0,65.0,46.0
BC,94,无eHMI,直行先通过,直行先通过,True,86,46.0,85.0,46.0
BC,95,有eHMI,直行先通过,直行先通过,True,89,46.0,,46.0
BC,96,有eHMI,直行先通过,直行先通过,True,65,47.0,99.0,47.0
BC,97,无eHMI,左转先通过,左转先通过,True,61,,70.0,
BC,98,有eHMI,左转先通过,左转先通过,True,63,,73.0,
BC,99,有eHMI,直行先通过,直行先通过,True,122,61.0,,61.0
BC,100,无eHMI,左转先通过,左转先通过,True,80,,65.0,
BC,101,无eHMI,直行先通过,直行先通过,True,106,56.0,88.0,56.0
BC,102,无eHMI,直行先通过,直行先通过,True,102,61.0,117.0,61.0
BC,103,有eHMI,左转先通过,左转先通过,True,69,,65.0,
BC,104,有eHMI,直行先通过,直行先通过,True,116,61.0,,61.0
BC,105,无eHMI,左转先通过,左转先通过,True,49,,74.0,
BC,106,有eHMI,直行先通过,直行先通过,True,105,64.0,67.0,64.0
BC,107,无eHMI,直行先通过,直行先通过,True,87,60.0,82.0,60.0
BC,108,有eHMI,左转先通过,都未通过,False,43,,,
BC,109,无eHMI,直行先通过,直行先通过,True,78,46.0,,46.0
BC,110,有eHMI,直行先通过,直行先通过,True,90,54.0,104.0,54.0
BC,111,有eHMI,直行先通过,直行先通过,True,89,46.0,,46.0
BC,112,无eHMI,左转先通过,左转先通过,True,61,,70.0,
BC,113,有eHMI,左转先通过,左转先通过,True,63,,73.0,
BC,114,有eHMI,直行先通过,直行先通过,True,122,61.0,,61.0
BC,115,无eHMI,左转先通过,左转先通过,True,53,,68.0,
BC,116,无eHMI,直行先通过,直行先通过,True,102,61.0,117.0,61.0
BC,117,有eHMI,左转先通过,都未通过,False,51,,,
BC,118,无eHMI,直行先通过,直行先通过,True,114,64.0,143.0,64.0
BC,119,有eHMI,左转先通过,都未通过,False,43,,,
BC,120,无eHMI,直行先通过,直行先通过,True,78,46.0,,46.0
BC,121,有eHMI,直行先通过,直行先通过,True,82,41.0,,41.0
BC,122,无eHMI,左转先通过,都未通过,False,49,,,
BC,123,有eHMI,直行先通过,直行先通过,True,82,41.0,,41.0
BC,124,无eHMI,左转先通过,左转先通过,True,72,,72.0,
BC,125,有eHMI,左转先通过,左转先通过,True,60,,60.0,
BC,126,有eHMI,直行先通过,直行先通过,True,111,61.0,,61.0
BC,127,无eHMI,直行先通过,直行先通过,True,101,61.0,118.0,61.0
BC,128,无eHMI,直行先通过,直行先通过,True,111,40.0,,40.0
BC,129,有eHMI,直行先通过,直行先通过,True,144,55.0,,55.0
BC,130,无eHMI,直行先通过,直行先通过,True,92,46.0,123.0,46.0
BC,131,有eHMI,直行先通过,直行先通过,True,111,45.0,,45.0
BC,132,有eHMI,直行先通过,直行先通过,True,98,47.0,116.0,47.0
BC,133,无eHMI,左转先通过,左转先通过,True,68,,80.0,
BC,134,有eHMI,左转先通过,左转先通过,True,62,,65.0,
BC,135,有eHMI,直行先通过,直行先通过,True,105,61.0,,61.0
BC,136,无eHMI,直行先通过,直行先通过,True,106,61.0,,61.0
BC,137,无eHMI,左转先通过,左转先通过,True,49,,56.0,
BC,138,有eHMI,左转先通过,左转先通过,True,53,,82.0,
BC,139,无eHMI,左转先通过,左转先通过,True,50,,76.0,
BC,140,有eHMI,直行先通过,直行先通过,True,117,54.0,,54.0
BC,141,无eHMI,直行先通过,直行先通过,True,71,47.0,100.0,47.0
GAIL,0,无eHMI,直行先通过,直行先通过,True,97,47.0,100.0,47.0
GAIL,1,有eHMI,直行先通过,直行先通过,True,116,47.0,82.0,47.0
GAIL,2,无eHMI,左转先通过,左转先通过,True,66,,58.0,
GAIL,3,有eHMI,直行先通过,直行先通过,True,139,62.0,102.0,62.0
GAIL,4,无eHMI,左转先通过,左转先通过,True,45,,58.0,
GAIL,5,有eHMI,直行先通过,直行先通过,True,154,74.0,79.0,74.0
GAIL,6,无eHMI,左转先通过,都未通过,False,44,,,
GAIL,7,有eHMI,左转先通过,左转先通过,True,55,,62.0,
GAIL,8,无eHMI,左转先通过,左转先通过,True,49,,62.0,
GAIL,9,有eHMI,直行先通过,直行先通过,True,104,56.0,98.0,56.0
GAIL,10,有eHMI,直行先通过,直行先通过,True,80,48.0,95.0,48.0
GAIL,11,有eHMI,左转先通过,左转先通过,True,41,,49.0,
GAIL,12,无eHMI,左转先通过,左转先通过,True,67,,65.0,
GAIL,13,无eHMI,直行先通过,直行先通过,True,80,55.0,98.0,55.0
GAIL,14,有eHMI,直行先通过,直行先通过,True,95,61.0,88.0,61.0
GAIL,15,有eHMI,左转先通过,左转先通过,True,52,,53.0,
GAIL,16,无eHMI,左转先通过,左转先通过,True,53,,50.0,
GAIL,17,有eHMI,直行先通过,直行先通过,True,98,65.0,82.0,65.0
GAIL,18,无eHMI,左转先通过,左转先通过,True,49,,55.0,
GAIL,19,有eHMI,直行先通过,直行先通过,True,102,57.0,91.0,57.0
GAIL,20,无eHMI,直行先通过,直行先通过,True,65,45.0,77.0,45.0
GAIL,21,有eHMI,直行先通过,直行先通过,True,84,46.0,75.0,46.0
GAIL,22,无eHMI,左转先通过,左转先通过,True,62,,51.0,
GAIL,23,有eHMI,直行先通过,直行先通过,True,113,61.0,93.0,61.0
GAIL,24,有eHMI,左转先通过,左转先通过,True,67,,57.0,
GAIL,25,无eHMI,左转先通过,左转先通过,True,47,,52.0,
GAIL,26,无eHMI,直行先通过,直行先通过,True,96,60.0,91.0,60.0
GAIL,27,有eHMI,直行先通过,直行先通过,True,95,56.0,88.0,56.0
GAIL,28,有eHMI,左转先通过,左转先通过,True,52,,52.0,
GAIL,29,无eHMI,左转先通过,左转先通过,True,57,,52.0,
GAIL,30,有eHMI,左转先通过,左转先通过,True,54,,59.0,
GAIL,31,无eHMI,左转先通过,左转先通过,True,46,,59.0,
GAIL,32,有eHMI,直行先通过,直行先通过,True,91,47.0,80.0,47.0
GAIL,33,有eHMI,直行先通过,直行先通过,True,99,47.0,88.0,47.0
GAIL,34,无eHMI,左转先通过,左转先通过,True,76,,56.0,
GAIL,35,有eHMI,直行先通过,直行先通过,True,108,62.0,95.0,62.0
GAIL,36,无eHMI,直行先通过,直行先通过,True,91,56.0,101.0,56.0
GAIL,37,有eHMI,直行先通过,左转先通过,False,117,73.0,67.0,73.0
GAIL,38,无eHMI,直行先通过,直行先通过,True,102,61.0,115.0,61.0
GAIL,39,无eHMI,左转先通过,左转先通过,True,47,,62.0,
GAIL,40,有eHMI,直行先通过,左转先通过,False,132,84.0,61.0,84.0
GAIL,41,无eHMI,左转先通过,左转先通过,True,54,,56.0,
GAIL,42,有eHMI,直行先通过,直行先通过,True,97,56.0,100.0,56.0
GAIL,43,有eHMI,直行先通过,直行先通过,True,82,47.0,77.0,47.0
GAIL,44,无eHMI,左转先通过,左转先通过,True,79,,61.0,
GAIL,45,有eHMI,直行先通过,直行先通过,True,85,62.0,100.0,62.0
GAIL,46,有eHMI,左转先通过,左转先通过,True,57,,60.0,
GAIL,47,无eHMI,直行先通过,直行先通过,True,91,62.0,116.0,62.0
GAIL,48,有eHMI,左转先通过,左转先通过,True,48,,55.0,
GAIL,49,无eHMI,左转先通过,左转先通过,True,47,,62.0,
GAIL,50,无eHMI,左转先通过,左转先通过,True,55,,61.0,
GAIL,51,有eHMI,直行先通过,直行先通过,True,85,57.0,102.0,57.0
GAIL,52,无eHMI,直行先通过,直行先通过,True,77,47.0,99.0,47.0
GAIL,53,无eHMI,直行先通过,直行先通过,True,83,48.0,101.0,48.0
GAIL,54,有eHMI,直行先通过,直行先通过,True,95,48.0,86.0,48.0
GAIL,55,无eHMI,左转先通过,左转先通过,True,49,,51.0,
GAIL,56,有eHMI,左转先通过,左转先通过,True,57,,59.0,
GAIL,57,无eHMI,左转先通过,左转先通过,True,42,,64.0,
GAIL,58,有eHMI,左转先通过,左转先通过,True,51,,60.0,
GAIL,59,无eHMI,左转先通过,都未通过,False,50,,,
GAIL,60,有eHMI,左转先通过,左转先通过,True,58,,60.0,
GAIL,61,无eHMI,左转先通过,左转先通过,True,45,,59.0,
GAIL,62,有eHMI,直行先通过,直行先通过,True,112,55.0,96.0,55.0
GAIL,63,有eHMI,直行先通过,直行先通过,True,91,47.0,82.0,47.0
GAIL,64,无eHMI,直行先通过,直行先通过,True,96,58.0,123.0,58.0
GAIL,65,有eHMI,直行先通过,直行先通过,True,101,57.0,100.0,57.0
GAIL,66,有eHMI,直行先通过,直行先通过,True,104,62.0,97.0,62.0
GAIL,67,无eHMI,直行先通过,直行先通过,True,83,55.0,101.0,55.0
GAIL,68,无eHMI,直行先通过,直行先通过,True,88,61.0,76.0,61.0
GAIL,69,有eHMI,直行先通过,直行先通过,True,106,63.0,109.0,63.0
GAIL,70,无eHMI,直行先通过,直行先通过,True,92,63.0,109.0,63.0
GAIL,71,有eHMI,左转先通过,直行先通过,False,50,56.0,,56.0
GAIL,72,无eHMI,直行先通过,直行先通过,True,77,47.0,91.0,47.0
GAIL,73,无eHMI,直行先通过,直行先通过,True,84,46.0,83.0,46.0
GAIL,74,有eHMI,直行先通过,直行先通过,True,86,47.0,83.0,47.0
GAIL,75,无eHMI,直行先通过,直行先通过,True,91,57.0,110.0,57.0
GAIL,76,有eHMI,直行先通过,直行先通过,True,92,57.0,97.0,57.0
GAIL,77,有eHMI,直行先通过,直行先通过,True,95,62.0,97.0,62.0
GAIL,78,无eHMI,直行先通过,直行先通过,True,96,61.0,102.0,61.0
GAIL,79,无eHMI,直行先通过,直行先通过,True,82,56.0,93.0,56.0
GAIL,80,有eHMI,直行先通过,直行先通过,True,107,58.0,63.0,58.0
GAIL,81,无eHMI,直行先通过,直行先通过,True,100,62.0,79.0,62.0
GAIL,82,有eHMI,直行先通过,直行先通过,True,90,56.0,87.0,56.0
GAIL,83,有eHMI,直行先通过,直行先通过,True,93,47.0,82.0,47.0
GAIL,84,无eHMI,左转先通过,左转先通过,True,58,,55.0,
GAIL,85,有eHMI,左转先通过,左转先通过,True,53,,55.0,
GAIL,86,有eHMI,左转先通过,都未通过,False,48,,,
GAIL,87,无eHMI,左转先通过,左转先通过,True,52,,62.0,
