ep_idx,eHMI,专家决策,AIRL生成决策,BC生成决策,GAIL生成决策,BC生成决策_一致,GAIL生成决策_一致,AIRL生成决策_一致
98,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
99,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
100,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
101,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
102,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
103,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
104,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
105,无eHMI,左转先通过,都未通过,左转先通过,左转先通过,True,True,False
106,有eHMI,直行先通过,直行先通过,直行先通过,左转先通过,True,False,True
107,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
108,有eHMI,左转先通过,左转先通过,都未通过,左转先通过,False,True,True
109,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
110,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
111,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
112,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
113,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
114,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
115,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
116,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
117,有eHMI,左转先通过,左转先通过,都未通过,左转先通过,False,True,True
118,无eHMI,直行先通过,直行先通过,直行先通过,左转先通过,True,False,True
119,有eHMI,左转先通过,左转先通过,都未通过,左转先通过,False,True,True
120,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
121,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
122,无eHMI,左转先通过,左转先通过,都未通过,都未通过,False,False,True
123,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
124,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
125,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
126,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
127,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
128,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
129,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
130,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
131,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
132,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
133,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
134,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
135,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
136,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
137,无eHMI,左转先通过,左转先通过,左转先通过,都未通过,True,False,True
138,有eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
139,无eHMI,左转先通过,左转先通过,左转先通过,左转先通过,True,True,True
140,有eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
141,无eHMI,直行先通过,直行先通过,直行先通过,直行先通过,True,True,True
